Model:	LI-7810
SN:	TG10-01881
Software Version:	2.3.8
Timestamp:	2025-07-10 09:44:44
Timezone:	Etc/Greenwich
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1752140684	613303899	0	256	""	2025-07-10	09:44:44	nan	nan	nan	101.886	22.2737	101.955	24.34	0	0	22.38	0	0	16.5676	106
DATA	1752140685	13288974	0	256	""	2025-07-10	09:44:45	nan	nan	nan	101.886	22.2737	101.955	24.34	0	0	22.38	0	0	16.5676	 60
DATA	1752140685	863256931	17	256	""	2025-07-10	09:44:45	nan	nan	nan	102.53	22.2737	102.599	24.3409	0	0	22.38	-8000	0	16.5464	150
DATA	1752140686	863234043	21	256	""	2025-07-10	09:44:46	nan	nan	nan	103.244	22.2737	103.322	28.4346	0	0	22.38	-16000	0	16.5041	216
DATA	1752140687	863178968	25	256	""	2025-07-10	09:44:47	nan	nan	nan	103.349	22.2737	103.426	32.4112	0	0	22.3807	-16000	0	16.519	 46
DATA	1752140688	863159894	29	256	""	2025-07-10	09:44:48	nan	nan	nan	103.448	22.2737	103.526	32.8611	0	0	22.3807	-16000	0	16.5233	104
DATA	1752140689	863146066	33	256	""	2025-07-10	09:44:49	nan	nan	nan	103.536	22.2737	103.612	33.0114	0	0	22.3811	-16000	0	16.5245	 71
DATA	1752140690	863146066	37	256	""	2025-07-10	09:44:50	nan	nan	nan	103.61	22.2737	103.685	33.0774	0	0	22.3814	-16000	0	16.5237	 30
DATA	1752140691	863146066	41	256	""	2025-07-10	09:44:51	nan	nan	nan	103.675	22.2737	103.749	33.115	0	0	22.3816	-16000	0	16.5217	 28
DATA	1752140692	863146066	45	256	""	2025-07-10	09:44:52	nan	nan	nan	103.732	22.2737	103.806	33.1405	0	0	22.3821	-16000	0	16.5178	 75
DATA	1752140693	863146066	49	256	""	2025-07-10	09:44:53	nan	nan	nan	103.782	22.2737	103.855	33.157	0	0	22.3827	-16000	0	16.5182	 46
DATA	1752140694	863146066	53	256	""	2025-07-10	09:44:54	nan	nan	nan	103.824	22.2737	103.898	33.1689	0	0	22.3828	-16000	0	16.526	 56
DATA	1752140695	863146066	57	256	""	2025-07-10	09:44:55	nan	nan	nan	103.86	22.2737	103.933	33.176	0	0	22.3834	-16000	0	16.5284	253
DATA	1752140696	862862110	61	256	""	2025-07-10	09:44:56	nan	nan	nan	103.89	22.2737	103.962	33.1815	0	0	22.3835	-16000	0	16.5276	 44
DATA	1752140697	862862110	65	256	""	2025-07-10	09:44:57	nan	nan	nan	103.915	22.2737	103.986	33.1856	0	0	22.3841	-16000	0	16.5272	100
DATA	1752140698	862862110	69	256	""	2025-07-10	09:44:58	nan	nan	nan	103.936	22.2737	104.005	33.1886	0	0	22.3842	-16000	0	16.5272	 96
DATA	1752140699	862862110	73	256	""	2025-07-10	09:44:59	nan	nan	nan	103.95	22.2737	104.019	33.1907	0	0	22.3846	-16000	0	16.5241	 40
DATA	1752140700	862862110	77	256	""	2025-07-10	09:45:00	nan	nan	nan	103.963	22.2737	104.033	33.1921	0	0	22.3849	-16000	0	16.5245	 65
DATA	1752140701	862862110	81	256	""	2025-07-10	09:45:01	nan	nan	nan	103.973	22.2737	104.043	33.1932	0	0	22.3853	-16000	0	16.5241	 57
DATA	1752140702	862862110	85	256	""	2025-07-10	09:45:02	nan	nan	nan	103.98	22.2737	104.05	33.194	0	0	22.3856	-16000	0	16.5233	174
DATA	1752140703	862862110	89	256	""	2025-07-10	09:45:03	nan	nan	nan	103.988	22.2737	104.056	33.1948	0	0	22.3856	-16000	0	16.5233	 90
DATA	1752140704	862581968	93	256	""	2025-07-10	09:45:04	nan	nan	nan	103.992	22.2737	104.062	33.1952	0	0	22.386	-16000	0	16.5229	 45
DATA	1752140705	862581968	97	256	""	2025-07-10	09:45:05	nan	nan	nan	103.996	22.2737	104.065	33.1959	0	0	22.3863	-16000	0	16.5233	111
DATA	1752140706	862581968	101	256	""	2025-07-10	09:45:06	nan	nan	nan	103.998	22.2737	104.068	33.1961	0	0	22.3863	-16000	0	16.5229	150
DATA	1752140707	862581968	105	256	""	2025-07-10	09:45:07	nan	nan	nan	104	22.2737	104.069	33.1963	0	0	22.387	-16000	0	16.5249	152
DATA	1752140708	862581968	109	256	""	2025-07-10	09:45:08	nan	nan	nan	104.003	22.2737	104.071	33.1969	0	0	22.387	-16000	0	16.5233	 87
DATA	1752140709	862581968	113	256	""	2025-07-10	09:45:09	nan	nan	nan	104.004	22.2737	104.072	33.1969	0	0	22.387	-16000	0	16.5241	 85
DATA	1752140710	862581968	117	256	""	2025-07-10	09:45:10	nan	nan	nan	104.004	22.2737	104.073	33.1969	0	0	22.387	-16000	0	16.5241	 74
DATA	1752140711	862293958	121	256	""	2025-07-10	09:45:11	nan	nan	nan	104.006	22.2737	104.074	33.1975	0	0	22.3874	-16000	0	16.5241	122
DATA	1752140712	862293958	125	256	""	2025-07-10	09:45:12	nan	nan	nan	104.007	22.2737	104.074	33.1978	0	0	22.3877	-16000	0	16.1525	136
DATA	1752140713	862293958	129	256	""	2025-07-10	09:45:13	nan	nan	nan	104.008	22.2764	104.075	33.1978	0	0	22.3888	-16000	0	16.0109	143
DATA	1752140714	862293958	133	256	""	2025-07-10	09:45:14	nan	nan	nan	104.01	22.2827	104.077	33.1978	0	0	22.3949	-16000	0	16.005	 32
DATA	1752140715	862293958	137	256	""	2025-07-10	09:45:15	nan	nan	nan	104.012	22.2916	104.078	33.1978	0	0	22.4063	-16000	0	16.0007	126
DATA	1752140716	862293958	141	256	""	2025-07-10	09:45:16	nan	nan	nan	104.012	22.3031	104.08	33.1978	0	0	22.4206	-16000	0	15.9944	 74
DATA	1752140717	862293958	145	256	""	2025-07-10	09:45:17	nan	nan	nan	104.014	22.318	104.081	33.1978	0	0	22.4387	-16000	0	15.9913	 94
DATA	1752140718	862293958	149	256	""	2025-07-10	09:45:18	nan	nan	nan	104.015	22.3355	104.082	33.1986	0	0	22.4579	-16000	0	15.9885	164
DATA	1752140719	862018108	153	256	""	2025-07-10	09:45:19	nan	nan	nan	104.016	22.3545	104.081	33.1986	0	0	22.4778	-16000	0	15.9858	145
DATA	1752140720	862018108	157	256	""	2025-07-10	09:45:20	nan	nan	nan	104.015	22.3752	104.082	33.1986	0	0	22.4988	-16000	0	15.9838	134
DATA	1752140721	862018108	161	256	""	2025-07-10	09:45:21	nan	nan	nan	104.016	22.3973	104.083	33.1986	0	0	22.52	-16000	0	15.9815	 15
DATA	1752140722	862018108	165	256	""	2025-07-10	09:45:22	nan	nan	nan	104.017	22.42	104.083	33.1986	0	0	22.5413	-16000	0	15.9799	 23
