Model:	LI-7810
SN:	TG10-01881
Software Version:	2.3.8
Timestamp:	2025-06-12 09:07:51
Timezone:	Etc/Greenwich
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1749719271	737404108	0	256	""	2025-06-12	09:07:51	nan	nan	nan	99.3284	22.8247	99.3892	24.34	0	0	22.915	0	0	16.6006	178
DATA	1749719272	137388944	0	256	""	2025-06-12	09:07:52	nan	nan	nan	99.3284	22.8247	99.3892	24.34	0	0	22.915	0	0	16.6006	193
DATA	1749719272	987356901	17	256	""	2025-06-12	09:07:52	nan	nan	nan	99.9533	22.8247	100.015	24.3407	0	0	22.915	-8000	0	16.588	225
DATA	1749719273	987323999	21	256	""	2025-06-12	09:07:53	nan	nan	nan	100.664	22.8245	100.735	28.5724	0	0	22.9153	-16000	0	16.5547	117
DATA	1749719274	987282037	25	256	""	2025-06-12	09:07:54	nan	nan	nan	100.804	22.8247	100.877	32.4615	0	0	22.9157	-16000	0	16.5653	110
DATA	1749719275	987245082	29	256	""	2025-06-12	09:07:55	nan	nan	nan	100.952	22.8247	101.023	32.8999	0	0	22.9157	-16000	0	16.5688	130
DATA	1749719276	987238883	33	256	""	2025-06-12	09:07:56	nan	nan	nan	101.09	22.8247	101.161	33.0466	0	0	22.9162	-16000	0	16.5692	 60
DATA	1749719277	987238883	37	256	""	2025-06-12	09:07:57	nan	nan	nan	101.215	22.8247	101.285	33.1108	0	0	22.9164	-16000	0	16.5688	121
DATA	1749719278	987238883	41	256	""	2025-06-12	09:07:58	nan	nan	nan	101.333	22.8247	101.404	33.148	0	0	22.9171	-16000	0	16.5676	 62
DATA	1749719279	987238883	45	256	""	2025-06-12	09:07:59	nan	nan	nan	101.45	22.8247	101.52	33.1727	0	0	22.9174	-16000	0	16.5637	 23
DATA	1749719280	987238883	49	256	""	2025-06-12	09:08:00	nan	nan	nan	101.558	22.8247	101.628	33.1888	0	0	22.9178	-16000	0	16.5637	132
DATA	1749719281	987238883	53	256	""	2025-06-12	09:08:01	nan	nan	nan	101.66	22.8243	101.729	33.1996	0	0	22.9183	-16000	0	16.57	220
DATA	1749719282	987238883	57	256	""	2025-06-12	09:08:02	nan	nan	nan	101.756	22.824	101.824	33.2074	0	0	22.9185	-16000	0	16.5712	 58
DATA	1749719283	986965894	61	256	""	2025-06-12	09:08:03	nan	nan	nan	101.844	22.824	101.912	33.213	0	0	22.9185	-16000	0	16.5708	  9
DATA	1749719284	986965894	65	256	""	2025-06-12	09:08:04	nan	nan	nan	101.925	22.824	101.991	33.2165	0	0	22.9192	-16000	0	16.5708	 76
DATA	1749719285	986965894	69	256	""	2025-06-12	09:08:05	nan	nan	nan	101.998	22.824	102.064	33.2195	0	0	22.9192	-16000	0	16.5708	 87
DATA	1749719286	986965894	73	256	""	2025-06-12	09:08:06	nan	nan	nan	102.059	22.824	102.126	33.2216	0	0	22.9192	-16000	0	16.5684	 69
DATA	1749719287	986965894	77	256	""	2025-06-12	09:08:07	nan	nan	nan	102.119	22.824	102.187	33.223	0	0	22.9198	-16000	0	16.5684	 33
DATA	1749719288	986965894	81	256	""	2025-06-12	09:08:08	nan	nan	nan	102.175	22.824	102.241	33.2241	0	0	22.9198	-16000	0	16.568	 21
DATA	1749719289	986965894	85	256	""	2025-06-12	09:08:09	nan	nan	nan	102.224	22.8236	102.288	33.2249	0	0	22.9198	-16000	0	16.5676	147
DATA	1749719290	986965894	89	256	""	2025-06-12	09:08:10	nan	nan	nan	102.266	22.8233	102.33	33.2257	0	0	22.9205	-16000	0	16.5676	 66
DATA	1749719291	986686944	93	256	""	2025-06-12	09:08:11	nan	nan	nan	102.303	22.8233	102.367	33.2261	0	0	22.9205	-16000	0	16.5672	100
DATA	1749719292	986686944	97	256	""	2025-06-12	09:08:12	nan	nan	nan	102.335	22.8233	102.399	33.2261	0	0	22.9205	-16000	0	16.5668	121
DATA	1749719293	986686944	101	256	""	2025-06-12	09:08:13	nan	nan	nan	102.362	22.8233	102.424	33.2261	0	0	22.9205	-16000	0	16.5668	146
DATA	1749719294	986686944	105	256	""	2025-06-12	09:08:14	nan	nan	nan	102.384	22.8233	102.447	33.2261	0	0	22.9209	-16000	0	16.568	111
DATA	1749719295	986686944	109	256	""	2025-06-12	09:08:15	nan	nan	nan	102.402	22.8233	102.465	33.2261	0	0	22.9212	-16000	0	16.568	102
DATA	1749719296	986686944	113	256	""	2025-06-12	09:08:16	nan	nan	nan	102.419	22.8233	102.481	33.2264	0	0	22.9212	-16000	0	16.5676	161
DATA	1749719297	986686944	117	256	""	2025-06-12	09:08:17	nan	nan	nan	102.433	22.8233	102.493	33.227	0	0	22.9212	-16000	0	16.2702	102
DATA	1749719298	986398935	121	256	""	2025-06-12	09:08:18	nan	nan	nan	102.445	22.8256	102.505	33.227	0	0	22.9221	-16000	0	16.131	 47
DATA	1749719299	986398935	125	256	""	2025-06-12	09:08:19	nan	nan	nan	102.455	22.8311	102.516	33.227	0	0	22.9271	-16000	0	16.1235	107
DATA	1749719300	986398935	129	256	""	2025-06-12	09:08:20	nan	nan	nan	102.464	22.841	102.524	33.227	0	0	22.9382	-16000	0	16.1192	 42
DATA	1749719301	986398935	133	256	""	2025-06-12	09:08:21	nan	nan	nan	102.471	22.853	102.53	33.227	0	0	22.9535	-16000	0	16.1149	247
DATA	1749719302	986398935	137	256	""	2025-06-12	09:08:22	nan	nan	nan	102.476	22.8683	102.535	33.227	0	0	22.9715	-16000	0	16.1109	108
DATA	1749719303	986398935	141	256	""	2025-06-12	09:08:23	nan	nan	nan	102.48	22.8843	102.54	33.2276	0	0	22.9889	-16000	0	16.1058	 67
DATA	1749719304	986398935	145	256	""	2025-06-12	09:08:24	nan	nan	nan	102.484	22.9032	102.544	33.2278	0	0	23.0088	-16000	0	16.1023	145
DATA	1749719305	986398935	149	256	""	2025-06-12	09:08:25	nan	nan	nan	102.486	22.9247	102.547	33.2278	0	0	23.0296	-16000	0	16.0992	179
DATA	1749719306	986121892	153	256	""	2025-06-12	09:08:26	nan	nan	nan	102.489	22.946	102.549	33.2278	0	0	23.0508	-16000	0	16.0964	111
DATA	1749719307	986121892	157	256	""	2025-06-12	09:08:27	nan	nan	nan	102.491	22.9688	102.551	33.2278	0	0	23.0721	-16000	0	16.0933	156
DATA	1749719308	986121892	161	256	""	2025-06-12	09:08:28	nan	nan	nan	102.493	22.9917	102.552	33.2278	0	0	23.0941	-16000	0	16.0913	153
DATA	1749719309	986121892	165	256	""	2025-06-12	09:08:29	nan	nan	nan	102.494	23.0156	102.552	33.2278	0	0	23.1161	-16000	0	16.089	 98
DATA	1749719310	986121892	169	256	""	2025-06-12	09:08:30	nan	nan	nan	102.495	23.0392	102.554	33.2284	0	0	23.1381	-16000	0	16.0862	139
DATA	1749719311	986121892	173	256	""	2025-06-12	09:08:31	nan	nan	nan	102.495	23.0627	102.554	33.2287	0	0	23.1592	-16000	0	16.0862	144
DATA	1749719312	986121892	177	256	""	2025-06-12	09:08:32	nan	nan	nan	102.495	23.0863	102.555	33.2287	0	0	23.1805	-16000	0	16.0835	150
DATA	1749719313	985835075	181	256	""	2025-06-12	09:08:33	nan	nan	nan	102.496	23.1112	102.554	33.2287	0	0	23.2029	-16000	0	16.0815	136
DATA	1749719314	985835075	185	256	""	2025-06-12	09:08:34	nan	nan	nan	102.496	23.1358	102.555	33.2287	0	0	23.2253	-16000	0	16.0796	162
DATA	1749719315	985835075	189	256	""	2025-06-12	09:08:35	nan	nan	nan	102.496	23.1602	102.555	33.2287	0	0	23.2479	-16000	0	16.0772	164
DATA	1749719316	985835075	193	256	""	2025-06-12	09:08:36	nan	nan	nan	102.496	23.1848	102.555	33.2287	0	0	23.2711	-16000	0	16.0756	164
DATA	1749719317	985835075	197	256	""	2025-06-12	09:08:37	nan	nan	nan	102.496	23.209	102.555	33.2289	0	0	23.294	-16000	0	16.0737	 69
DATA	1749719318	985835075	201	256	""	2025-06-12	09:08:38	nan	nan	nan	102.496	23.2332	102.555	33.2295	0	0	23.3169	-16000	0	16.0713	147
DATA	1749719319	985835075	205	256	""	2025-06-12	09:08:39	nan	nan	nan	102.495	23.2564	102.555	33.2295	0	0	23.3386	-16000	0	16.0678	170
DATA	1749719320	985835075	209	256	""	2025-06-12	09:08:40	nan	nan	nan	102.496	23.2801	102.555	33.2295	0	0	23.3605	-16000	0	16.0658	145
DATA	1749719321	985552072	213	256	""	2025-06-12	09:08:41	nan	nan	nan	102.496	23.3036	102.554	33.2295	0	0	23.3833	-16000	0	16.0639	137
DATA	1749719322	985552072	217	256	""	2025-06-12	09:08:42	nan	nan	nan	102.496	23.327	102.555	33.2295	0	0	23.4063	-16000	0	16.0623	 85
DATA	1749719323	985552072	221	256	""	2025-06-12	09:08:43	nan	nan	nan	102.497	23.3504	102.555	33.2295	0	0	23.4291	-16000	0	16.0611	131
DATA	1749719324	985552072	225	256	""	2025-06-12	09:08:44	nan	nan	nan	102.495	23.3735	102.555	33.2303	0	0	23.4525	-16000	0	16.0596	143
DATA	1749719325	985552072	229	256	""	2025-06-12	09:08:45	nan	nan	nan	102.496	23.3963	102.554	33.2303	0	0	23.4756	-16000	0	16.058	103
DATA	1749719326	985552072	233	256	""	2025-06-12	09:08:46	nan	nan	nan	102.495	23.419	102.554	33.2303	0	0	23.4985	-16000	0	16.0568	102
DATA	1749719327	985552072	237	256	""	2025-06-12	09:08:47	nan	nan	nan	102.495	23.4416	102.553	33.2303	0	0	23.5213	-16000	0	16.0552	134
DATA	1749719328	985265970	241	256	""	2025-06-12	09:08:48	nan	nan	nan	102.496	23.4634	102.554	33.2303	0	0	23.5432	-16000	0	16.056	 97
DATA	1749719329	985265970	245	256	""	2025-06-12	09:08:49	nan	nan	nan	102.496	23.4846	102.553	33.2303	0	0	23.5656	-16000	0	16.0537	167
DATA	1749719330	985265970	249	256	""	2025-06-12	09:08:50	nan	nan	nan	102.495	23.5066	102.554	33.2309	0	0	23.5885	-16000	0	16.0529	161
DATA	1749719331	985265970	253	256	""	2025-06-12	09:08:51	nan	nan	nan	102.496	23.528	102.553	33.2312	0	0	23.6112	-16000	0	16.0513	 79
DATA	1749719332	985265970	257	256	""	2025-06-12	09:08:52	nan	nan	nan	102.495	23.5494	102.553	33.2312	0	0	23.6348	-16000	0	16.0505	151
DATA	1749719333	985265970	261	256	""	2025-06-12	09:08:53	nan	nan	nan	102.494	23.5707	102.553	33.2312	0	0	23.6578	-16000	0	16.049	104
DATA	1749719334	985265970	265	256	""	2025-06-12	09:08:54	nan	nan	nan	102.495	23.5921	102.553	33.2312	0	0	23.6807	-16000	0	16.0474	154
DATA	1749719335	985265970	269	256	""	2025-06-12	09:08:55	nan	nan	nan	102.494	23.6131	102.553	33.2314	0	0	23.7036	-16000	0	16.0458	152
DATA	1749719336	984982967	273	256	""	2025-06-12	09:08:56	nan	nan	nan	102.495	23.6338	102.552	33.232	0	0	23.7256	-16000	0	16.0427	118
DATA	1749719337	984982967	277	256	""	2025-06-12	09:08:57	nan	nan	nan	102.495	23.6535	102.552	33.232	0	0	23.7474	-16000	0	16.0415	122
DATA	1749719338	984982967	281	256	""	2025-06-12	09:08:58	nan	nan	nan	102.495	23.6738	102.553	33.232	0	0	23.7703	-16000	0	16.0403	117
DATA	1749719339	984982967	285	256	""	2025-06-12	09:08:59	nan	nan	nan	102.495	23.6943	102.552	33.232	0	0	23.7931	-16000	0	16.0392	130
DATA	1749719340	984982967	289	256	""	2025-06-12	09:09:00	nan	nan	nan	102.493	23.7146	102.551	33.232	0	0	23.8163	-16000	0	16.038	 53
DATA	1749719341	984982967	293	256	""	2025-06-12	09:09:01	nan	nan	nan	102.493	23.7347	102.552	33.2322	0	0	23.8392	-16000	0	16.0376	161
DATA	1749719342	984982967	297	256	""	2025-06-12	09:09:02	nan	nan	nan	102.494	23.7547	102.55	33.2328	0	0	23.8622	-16000	0	16.0364	119
DATA	1749719343	984693050	301	256	""	2025-06-12	09:09:03	nan	nan	nan	102.494	23.7744	102.551	33.2328	0	0	23.8848	-16000	0	16.0348	149
