"Mesocosm_Treatment","Replicate","Shade_Per","Run_Type","Current_Location","CO2_flux","CH4_flux"
"Control","1","0","Air",3,-6.5412992215274,0.00138959304785567
"Control","1","100","Air",3,2.8584364828414,0.00127039336136719
"Control","2","0","Air",7,-3.55978378091298,0.00103686101831916
"Control","2","100","Air",7,4.17316696982425,0.00111634461289407
"Control","3","0","Air",1,-5.81031738539116,0.00214412459902666
"Control","3","100","Air",1,4.82759978018224,0.00194762323463807
"Control","4","0","Air",13,-4.43548390014307,0.00123754784556741
"Control","4","100","Air",13,3.07620344917412,0.00119409021339242
"Control","5","0","Air",17,-6.89011977129259,0.00108654327927433
"Control","5","100","Air",17,6.02304432996994,0.00137063228028898
"High","1","0","Air",6,-4.22561760203029,0.00197516081159753
"High","1","100","Air",6,2.91642983286996,0.00185307605461673
"High","2","0","Air",8,-3.3193891131595,0.00266676565048153
"High","2","100","Air",8,2.06956413302228,0.00101916767190966
"High","3","0","Air",2,-2.84618561452894,0.00100880389276535
"High","3","100","Air",2,2.76534160013176,0.00091271147699161
"High","4","0","Air",19,-2.49207851749793,0.000869254401306824
"High","4","100","Air",19,1.7620798201214,0.000589432130638739
"High","5","0","Air",16,-4.99295331582073,0.00100962209041752
"High","5","100","Air",16,5.43465570619994,0.00126292768049985
"Low","1","0","Air",4,-3.42003282681575,0.00135335623409441
"Low","1","100","Air",4,2.58878763979579,0.00145084689886279
"Low","2","0","Air",9,-5.09050767174077,0.00294612569426812
"Low","2","100","Air",9,5.43302521393488,0.00312523870588208
"Low","3","0","Air",12,-4.03147791798723,0.00175379706723849
"Low","3","100","Air",12,2.83927763928571,0.00132085392836339
"Low","4","0","Air",14,-5.01823948196665,0.00115603056349209
"Low","4","100","Air",14,2.68358423275778,0.000903623312207333
"Low","5","0","Air",20,-3.98578712679935,0.00111975924365918
"Low","5","100","Air",20,3.41615777502129,0.00103974389921944
"Medium","1","0","Air",5,-4.34253120927554,0.00118066642946928
"Medium","1","100","Air",5,2.01156581255203,0.000717124828759074
"Medium","2","0","Air",15,-5.04536729971189,0.00150492310825298
"Medium","2","100","Air",15,3.71746329113267,0.00176559083037182
"Medium","3","0","Air",18,-4.60242418668233,0.000889394242017986
"Medium","3","100","Air",18,1.7107326216025,0.000792776240793814
"Medium","4","0","Air",10,-2.37062605647038,0.000810829141853595
"Medium","4","100","Air",10,4.3497352375265,0.00079360174117166
"Medium","5","0","Air",11,-2.55013607929342,0.000948736750128519
"Medium","5","100","Air",11,2.33567837729146,0.00100981652743626
"Control","1","0","Water",16,-0.652796218138403,0.000216734557465911
"Control","1","100","Water",16,-1.90356431278891,0.000101085190785309
"Control","2","0","Water",3,-0.662281939510543,0.000190347930967507
"Control","2","100","Water",3,-0.45889728102135,6.49221366065945e-05
"Control","3","0","Water",7,-0.344454223655966,0.000145026974545134
"Control","3","100","Water",7,-0.399027757384995,7.70254524271589e-05
"Control","4","0","Water",12,-0.192893676306295,7.06658355264404e-05
"Control","4","100","Water",12,-0.259500782642864,4.52141449570322e-05
"Control","5","0","Water",20,-1.33207763810645,0.000209493966860782
"Control","5","100","Water",20,-0.478333613984383,9.62798710338518e-05
"High","1","0","Water",4,3.68795846921306,0.000134918629771279
"High","1","100","Water",4,-0.0568461791901468,5.49172864023858e-05
"High","2","0","Water",1,-0.233632316988608,0.000108328114491809
"High","2","100","Water",1,-0.202384446533438,4.09576925130545e-05
"High","3","0","Water",8,-0.503723744238305,0.00010291941226669
"High","3","100","Water",8,-0.34591809384504,5.92206947740948e-05
"High","4","0","Water",14,-0.0994789712815034,7.94347544019083e-05
"High","4","100","Water",14,-0.40099567633675,5.73963696435957e-05
"High","5","0","Water",17,-0.488299673152227,0.000150538260658787
"High","5","100","Water",17,-0.792209241407974,5.19334648915431e-05
"Low","1","0","Water",15,-0.750878935897398,0.000303163145383287
"Low","1","100","Water",15,-0.404815878013063,8.67966047226541e-05
"Low","2","0","Water",6,-0.645002710065894,0.000112852362275658
"Low","2","100","Water",6,-0.433657270882571,7.38786664767636e-05
"Low","3","0","Water",9,-0.669870679212868,0.000656308684991068
"Low","3","100","Water",9,-0.431470639671233,4.86853364748133e-05
"Low","4","0","Water",10,-0.415387357598711,6.88130474775459e-05
"Low","4","100","Water",10,-0.438765894663391,5.02320321730574e-05
"Low","5","0","Water",13,-0.00313106213667371,0.000177217989333612
"Low","5","100","Water",13,-1.08813653156996,7.35149030920803e-05
"Medium","1","0","Water",2,-2.75085268525585,7.99663824999082e-05
"Medium","1","100","Water",2,-0.652956266861306,5.86491410761558e-05
"Medium","2","0","Water",18,-0.735428594318009,0.0002233327988597
"Medium","2","100","Water",18,-0.455437963426221,7.09774416949699e-05
"Medium","3","0","Water",19,-0.605985057127439,0.000141975386548038
"Medium","3","100","Water",19,-0.382058965423249,6.28639107912682e-05
"Medium","4","0","Water",5,-0.312433420281946,7.20918861643487e-05
"Medium","4","100","Water",5,-0.305392337357657,3.44165780834659e-05
"Medium","5","0","Water",11,-0.522694525981899,6.65088108582863e-05
"Medium","5","100","Water",11,-0.252751088029698,4.33483770112177e-05
