Infaunal_Community_ID,FD_Bin,FD_Rep,Nephtys,Glycera,Hediste,Arenicola,Total Worm,Mya,Cerastoderma,Scrobicularia,Total Bivalve,Worm Percentage,Bivalve Percentage
LOW 1,LOW,1,1,1,1,,3,,,,0,1,0
LOW 2,LOW,2,,1,1,,2,,1,,1,0.666666667,0.333333333
LOW 3,LOW,3,,1,1,1,3,,,,0,1,0
LOW 4,LOW,4,,,,1,1,1,,1,2,0.333333333,0.666666667
LOW 5,LOW,5,,,,1,1,1,,1,2,0.333333333,0.666666667
MED 1,MED,1,1,,,1,2,,1,,1,0.666666667,0.333333333
MED 2,MED,2,,1,,1,2,,1,,1,0.666666667,0.333333333
MED 3,MED,3,,,1,1,2,,,1,1,0.666666667,0.333333333
MED 4,MED,4,,,1,,1,1,1,,2,0.333333333,0.666666667
MED 5,MED,5,,1,,1,2,,,1,1,0.666666667,0.333333333
HIGH 1,HIGH,1,1,,,1,2,1,,,1,0.666666667,0.333333333
HIGH 2,HIGH,2,,1,,1,2,,,1,1,0.666666667,0.333333333
HIGH 3,HIGH,3,,,1,1,2,,1,,1,0.666666667,0.333333333
HIGH 4,HIGH,4,,,,1,1,,1,1,2,0.333333333,0.666666667
HIGH 5,HIGH,5,,,,1,1,,1,1,2,0.333333333,0.666666667
CON 1,CON,1,,,,,,,,,,0,0
CON 2,CON,2,,,,,,,,,,0,0
CON 3,CON,3,,,,,,,,,,0,0
CON 4,CON,4,,,,,,,,,,0,0
CON 5,CON,5,,,,,,,,,,0,0
