,Mesocosm_Treatment,Replicate,Shade_Per,CO2_slope,CH4_slope,Volume,Treat_Rep,Nephtys,Glycera,Hediste,Arenicola,Total Worm,Mya,Cerastoderma,Scrobicularia,Total Bivalve,Worm Percentage,Bivalve Percentage,Funct_Disp,Funct_Rich,Fun_X,Fun_Y
1,CON,1,0,0.030636355,0.005908855,17.10639891,CON 1,,,,,,,,,,,,,,,
2,CON,1,100,-0.003117001,0.001999966,17.10639891,CON 1,,,,,,,,,,,,,,,
3,CON,2,0,0.098951774,0.005218679,15.27357046,CON 2,,,,,,,,,,,,,,,
4,CON,2,100,-0.022574234,0.00151401,15.27357046,CON 2,,,,,,,,,,,,,,,
5,CON,3,0,0.05595435,0.004051941,15.27357046,CON 3,,,,,,,,,,,,,,,
6,CON,3,100,-0.026219212,0.003242171,15.27357046,CON 3,,,,,,,,,,,,,,,
7,CON,4,0,-0.031868366,0.00472756,15.27357046,CON 4,,,,,,,,,,,,,,,
8,CON,4,100,-0.010581942,0.002628327,15.27357046,CON 4,,,,,,,,,,,,,,,
9,CON,5,0,-0.013288436,0.035353211,15.27357046,CON 5,,,,,,,,,,,,,,,
10,CON,5,100,-0.01584997,0.07506551,15.27357046,CON 5,,,,,,,,,,,,,,,
11,HIGH,1,0,-0.043754805,0.008626003,14.66262764,HIGH 1,1,,,1,2,1,,,1,0.666666667,0.333333333,0.13871753,0.7726688,-0.06214,-0.18062
12,HIGH,1,100,-0.014143166,0.012334607,14.66262764,HIGH 1,1,,,1,2,1,,,1,0.666666667,0.333333333,0.13871753,0.7726688,-0.06214,-0.18062
13,HIGH,2,0,-0.04463087,0.003509964,15.27357046,HIGH 2,,1,,1,2,,,1,1,0.666666667,0.333333333,0.15817931,0.6810622,-0.0728,-0.18638
14,HIGH,2,100,-0.003171566,0.003005138,15.27357046,HIGH 2,,1,,1,2,,,1,1,0.666666667,0.333333333,0.15817931,0.6810622,-0.0728,-0.18638
15,HIGH,3,0,-0.067766784,0.003839836,14.66262764,HIGH 3,,,1,1,2,,1,,1,0.666666667,0.333333333,0.09094806,0.4300282,-0.08853,-0.12281
16,HIGH,3,100,-0.0082838,0.003088737,14.66262764,HIGH 3,,,1,1,2,,1,,1,0.666666667,0.333333333,0.09094806,0.4300282,-0.08853,-0.12281
17,HIGH,4,0,-0.029657144,0.005915557,15.27357046,HIGH 4,,,,1,1,,1,1,2,0.333333333,0.666666667,0.13740457,0.5012584,0.02662,-0.17273
18,HIGH,4,100,0.01122581,0.004471459,15.27357046,HIGH 4,,,,1,1,,1,1,2,0.333333333,0.666666667,0.13740457,0.5012584,0.02662,-0.17273
19,HIGH,5,0,-0.022409387,0.00575263,13.440742,HIGH 5,,,,1,1,,1,1,2,0.333333333,0.666666667,0.13740457,0.5012584,0.02662,-0.17273
20,HIGH,5,100,-0.013209396,0.00594686,13.440742,HIGH 5,,,,1,1,,1,1,2,0.333333333,0.666666667,0.13740457,0.5012584,0.02662,-0.17273
21,LOW,1,0,0.017888198,0.004793419,14.66262764,LOW 1,1,1,1,,3,,,,0,1,0,0.05027365,0.3104622,-0.27212,-0.00372
22,LOW,1,100,-0.011977684,0.00380589,14.66262764,LOW 1,1,1,1,,3,,,,0,1,0,0.05027365,0.3104622,-0.27212,-0.00372
23,LOW,2,0,-0.013114942,0.004045147,14.66262764,LOW 2,,1,1,,2,,1,,1,0.666666667,0.333333333,0.04995553,0.3648234,-0.18752,-0.03376
24,LOW,2,100,0.004129982,0.003016206,14.66262764,LOW 2,,1,1,,2,,1,,1,0.666666667,0.333333333,0.04995553,0.3648234,-0.18752,-0.03376
25,LOW,3,0,-0.006795857,0.002878303,15.88451327,LOW 3,,1,1,1,3,,,,0,1,0,0.05579287,0.4637384,-0.18795,-0.13646
26,LOW,3,100,-0.019491064,0.003911694,15.88451327,LOW 3,,1,1,1,3,,,,0,1,0,0.05579287,0.4637384,-0.18795,-0.13646
27,LOW,4,0,-0.016213095,0.14396513,17.10639891,LOW 4,,,,1,1,1,,1,2,0.333333333,0.666666667,0.04916759,0.3181095,0.09153,-0.29297
28,LOW,4,100,-0.009339954,0.067719259,17.10639891,LOW 4,,,,1,1,1,,1,2,0.333333333,0.666666667,0.04916759,0.3181095,0.09153,-0.29297
29,LOW,5,0,-0.070644958,0.008565196,15.88451327,LOW 5,,,,1,1,1,,1,2,0.333333333,0.666666667,0.04916759,0.3181095,0.09153,-0.29297
30,LOW,5,100,-0.024852127,0.0060294,15.88451327,LOW 5,,,,1,1,1,,1,2,0.333333333,0.666666667,0.04916759,0.3181095,0.09153,-0.29297
31,MED,1,0,-0.094247659,0.01831404,14.66262764,MED 1,1,,,1,2,,1,,1,0.666666667,0.333333333,0.1677185,0.6090649,-0.12704,-0.06037
32,MED,1,100,-0.011696059,0.008454839,14.66262764,MED 1,1,,,1,2,,1,,1,0.666666667,0.333333333,0.1677185,0.6090649,-0.12704,-0.06037
33,MED,2,0,-0.037002165,0.007988195,15.88451327,MED 2,,1,,1,2,,1,,1,0.666666667,0.333333333,0.19669646,0.5937119,-0.14187,-0.10406
34,MED,2,100,-0.033224604,0.008336093,15.88451327,MED 2,,1,,1,2,,1,,1,0.666666667,0.333333333,0.19669646,0.5937119,-0.14187,-0.10406
35,MED,3,0,-0.125552933,0.006839218,15.88451327,MED 3,,,1,1,2,,,1,1,0.666666667,0.333333333,0.11211334,0.491923,-0.01946,-0.20512
36,MED,3,100,0.013250691,0.002105581,15.88451327,MED 3,,,1,1,2,,,1,1,0.666666667,0.333333333,0.11211334,0.491923,-0.01946,-0.20512
37,MED,4,0,-0.090326421,0.007238553,14.66262764,MED 4,,,1,,1,1,1,,2,0.333333333,0.666666667,0.14732651,0.6056129,-0.02318,-0.14035
38,MED,4,100,-0.033117844,0.005824282,14.66262764,MED 4,,,1,,1,1,1,,2,0.333333333,0.666666667,0.14732651,0.6056129,-0.02318,-0.14035
39,MED,5,0,-0.039319631,0.003898033,15.88451327,MED 5,,1,,1,2,,,1,1,0.666666667,0.333333333,0.15817931,0.6810622,-0.0728,-0.18638
40,MED,5,100,-0.010995993,0.000241244,15.88451327,MED 5,,1,,1,2,,,1,1,0.666666667,0.333333333,0.15817931,0.6810622,-0.0728,-0.18638
